title,tags
Billy Elliot,"Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes! Drama Comedy Music Jamie Bell Julie Walters Jean Heywood Jamie Draven Gary Lewis Stephen Mangan Patrick Malahide Stuart Wells Tracey Wilkinson Zoë Bell Nicola Blackwell Janine Birkett Joe Renton Colin MacLachlan Trevor Fox Charlie Hardwick Barbara Leigh-Hunt workers' quarter dancing class strike northern england scholarship ballet"
The Way Way Back,"Over the course of his summer break, a teenager comes into his own thanks in part to the friendship he strikes up with one of the park's managers. Comedy Drama Liam James Steve Carell Toni Collette AnnaSophia Robb Sam Rockwell Allison Janney Maya Rudolph Amanda Peet Rob Corddry Nat Faxon Jim Rash Zoe Levin River Alexander shyness beach bicycle conversation friendship step father vacation job neighbor summer teenager water park awkwardness"
House Party 2,Kid'N'Play leave their neighborhood and enter the world of adulthood and higher education. Play attempts to get rich quick in the music business while Kid faces the challenges of college. Comedy Martin Lawrence Christopher Martin Christopher Reid Paul Anthony Tisha Campbell-Martin Queen Latifah Georg Stanford Brown Whoopi Goldberg Iman 
The Man from Snowy River,"Jim Craig has lived his first 18 years in the mountains of Australia on his father's farm. The death of his father forces him to go to the low lands to earn enough money to get the farm back on its feet. Kirk Douglas plays two roles as twin brothers who haven't spoken for years, one of whom was Jim's father's best friend and the other of whom is the father of the girl he wants to marry. Family Drama Action Western Romance Tom Burlinson Terence Donovan Kirk Douglas Tommy Dysart Bruce Kerr David Bradshaw Sigrid Thornton Jack Thompson Tony Bonner June Jago Chris Haywood Kristopher Steele Gus Mercurio Howard Eynon Lorraine Bayly regret river horse ranch australia brumby brumbies colt stockman clancy of the overflow"
Doug's 1st Movie,Doug and his pal Skeeter set's out to find the monster of Lucky Duck Lake. Though things get really out of hand when some one blurts out that the monster is real. Animation Family Comedy Thomas McHugh Fred Newman Chris Phillips Constance Shulman journalism dance daydream friendship pollution cartoon number in title kids and family valentine
The Apostle,"After his happy life spins out of control, a preacher from Texas changes his name, goes to Louisiana and starts preaching on the radio. Drama Robert Duvall Billy Bob Thornton June Carter Cash Farrah Fawcett Miranda Richardson Todd Allen Walton Goggins Billy Joe Shaver Renée Victor christianity coma jealousy radio station texas apostle minister louisiana forgiveness independent film preacher"
Mommie Dearest,"In this biographical film, glamorous yet lonely star Joan Crawford takes in two orphans, and at first their unconventional family seems happy. But after Joan's attempts at romantic fulfillment go sour and she is fired from her contract with MGM studios, her callous and abusive behavior towards her daughter Christina becomes even more pronounced. Christina leaves home and takes her first acting role, only to find her mother's presence still overshadowing her. Drama Faye Dunaway Diana Scarwid Steve Forrest Howard Da Silva Mara Hobel Harry Goz Michael Edwards Jocelyn Brando Priscilla Pointer Joe Abdullah Gary Allen Selma Archerd Adrian Aron Xander Berkeley ax biography sociopath lawyer mansion docudrama perfection adopted child"
Our Idiot Brother,"Everybody has the sibling who is always just a little bit behind the curve when it comes to getting his life together. For sisters Liz, Miranda and Natalie, that person is their perennially upbeat brother Ned, an erstwhile organic farmer whose willingness to rely on the honesty of mankind is a less-than-optimum strategy for a tidy, trouble-free existence. Ned may be utterly lacking in common sense, but he is their brother and so, after his girlfriend dumps him and boots him off the farm, his sisters once again come to his rescue. As Liz, Miranda and Natalie each take a turn at housing Ned, their brother's unfailing commitment to honesty creates more than a few messes in their comfortable routines. But as each of their lives begins to unravel, Ned's family comes to realize that maybe, in believing and trusting the people around him, Ned isn't such an idiot after all. Comedy Drama Paul Rudd Elizabeth Banks Zooey Deschanel Emily Mortimer Adam Scott Kathryn Hahn Hugh Dancy Steve Coogan Rashida Jones T.J. Miller Shirley Knight Janet Montgomery Sterling K. Brown Bob Stephenson Peter Hermann Francesca Papalia Matthew Mindler Lydia Haug Wrenn Schmidt Kathy Fitzgerald Marceline Hugot Alexia Rasmussen Lucas Near-Verbrugghe Polly Draper Neal Lerner Katie Aselton brother sister relationship sister sister relationship family clan idealist duringcreditsstinger"
Race,"Based on the incredible true story of Jesse Owens, the legendary athletic superstar whose quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy. Starring Stephan James, Jason Sudeikis, Jeremy Irons, Carice Van Houten and William Hurt - Race is an enthralling film about courage, determination, tolerance, and friendship, and an inspiring drama about one man's fight to become an Olympic legend. Action Drama Stephan James Jason Sudeikis Carice van Houten Jeremy Irons Amanda Crew William Hurt David Kross Eli Goree Giacomo Gianniotti Jonathan Aris Jon McLaren Moe Jeudy-Lamour Shamier Anderson Shanice Banton Tim McInnerny Nina Lauren Jesse Bostick Tim Post Barnaby Metschurat Larry Day Arthur Holden Karl Graboshas Jeff Burrell Anthony Sherwood Alexander Yassin Jonathan Higgins Jaa Smith-Johnson Jeremy Ferdman Bruno Bruni Jr. Steffen Mennekes Manuel Sinor Chantel Riley Daniel Harroch Marc Primeau Dondre Octave Ricky Watson Milo Larratt Gaetan Normandin Julien Boissaud Andrea Carter Nikoma T. Beermann Francois Hugo Turgeon Karen Belfo Chris Theisinger olympic games biography sport historical figure nazi germany racism african american track and field"
The Players Club,"Young single mother Diana struggles to provide for her child and pay for her college education. She ends up working at a shoe store, but meets two strippers from at a nearby gentlemen's club who convince her there's fast money to be made stripping. At the Players Club, however, Diana faces danger and heartbreak. Drama LisaRaye McCoy Dick Anthony Williams Judyann Elder Chrystale Wilson Adele Givens Bernie Mac Anthony Johnson Monica Calhoun Jamie Foxx Tracey Cherelle Jones Terrence Howard Ice Cube Charlie Murphy strip club stripper dominatrix cat fight"
"As Above, So Below","When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead. Horror Thriller Perdita Weeks Ben Feldman Edwin Hodge François Civil Marion Lambert Ali Marhyar Cosme Castro Hamid Djavadan Théo Cholbi Emy Lévy Roger Van Hool Olivia Csiky Trnka Hellyette Bess Aryan Rahimian Samuel Aouizerate Kaya Blocksage paris treasure catacombs scientist singing in a car archaeologist loss of friend subjective camera found footage thick accent female archeologist burning car philosopher's stone french accent rapping in a car"
Addicted,A gallerist risks her family and flourishing career when she enters into an affair with a talented painter and slowly loses control of her life. Drama Thriller Boris Kodjoe Brandon Gonzales Cameron Mills Emayatzy Corinealdi Garrett Hines Hunter Burke John Newberg Kat Graham Maria Howell Omer Mughal Sharon Leal Tasha Smith Tyson Beckford William Levy Mikayla Donlon infidelity obsession lie sin interracial relationship cheating wife lust attraction deceit temptation hipersexualidad faithful husband
Eve's Bayou,"The story is set in 1962 Louisiana. The big Batiste family is headed by charming doctor Louis. Though he is married to beautiful Roz, he has a weakness for attractive women patients. One day Louis is flirting with married and sexy Metty Mereaux, not knowing that he is observed by his youngest idealistic daughter Eve, who is there by accident. Eve can not forget the incident which is traumatic for her naivete and shares a secret with older sister Cisely. Lies start to roll... Drama Jurnee Smollett Meagan Good Lynn Whitfield Samuel L. Jackson Debbi Morgan Diahann Carroll Lisa Nicole Carson Roger Guenveur Smith Victoria Rowell Jake Smollett Ethel Ayler Vondie Curtis-Hall Branford Marsalis Carol Sutton Tamara Tunie Marcus Lyle Brown Leonard L. Thomas Afonda Colbert Lola Dalferes Alverta Perkins Dunigan Ron Flagge Oneal A. Isaac Julian Dalcour Allen Toussaint Billie Neal sister sister relationship menstruation superstition independent film curse mother daughter relationship tavern aunt niece relationship father daughter relationship all black cast woman director"
Still Alice,"Alice Howland, happily married with three grown children, is a renowned linguistics professor who starts to forget words. When she receives a devastating diagnosis, Alice and her family find their bonds tested. Drama Julianne Moore Alec Baldwin Kristen Stewart Kate Bosworth Shane McRae Hunter Parrish Seth Gilliam Stephen Kunken Erin Darke Daniel Gerroll Quincy Tyler Bernstine Maxine Prescott Orlagh Cassidy Rosa Arredondo Zillah Glory Cat Lynch Eha Urbsalu Victoria Cartagena mother professor illness"
The Egyptian,"In eighteenth-dynasty Egypt, Sinuhe, a poor orphan, becomes a brilliant physician and with his friend Horemheb is appointed to the service of the new Pharoah. Sinuhe's personal triumphs and tragedies are played against the larger canvas of the turbulent events of the 18th dynasty. As Sinuhe is drawn into court intrigues he learns the answers to the questions he has sought since his birth. History Drama Jean Simmons Victor Mature Gene Tierney Peter Ustinov Edmund Purdom Michael Wilding Bella Darvi Judith Evelyn Henry Daniell John Carradine Carl Benton Reid Tommy Rettig Anitra Stevens Michael Ansara Henry Corden Mady Comfort Richard Allan Sharon Jan Altman Rama Bai Don Bender Don Blackman Geraldine Bogdonovich Brad Brown George Bruggeman George Chester Angela Clarke Edmund Cobb Karl 'Killer' Davis Carmen De Lavallade Alvin Burke Deer James Dime Franco Fantasia Dede Gainor Aurello Galli John George Mimi Gibson Michael Granger Yeghishe Harout Lars Hensen Kay Koury Paul Kruger Ian MacDonald Tyler MacDuff Tiger Joe Marsh Donna Martell Mike Mazurki George Melford John Mooney Wilma Reid Peter Reynolds John Roy Lawrence Ryle Paul Salata Harry Shearer Ray Spiker Saye Sumi Harry Thompson Alice Tissot Joan Winfield egypt"
Nighthawks,An international terrorist has New York in a grip of panic and it's up to Det. Sgt. Deke DaSilva to take him down. Action Crime Thriller Sylvester Stallone Rutger Hauer Billy Dee Williams Lindsay Wagner Persis Khambatta Nigel Davenport Hilary Thompson Joe Spinell Walter Mathews E. Brian Dean Sue Vanner 
Friday the 13th Part VIII: Jason Takes Manhattan,"The Big Apple's in big trouble, as indestructible psycho-fiend Jason Vorhees hits the road to New York City. After a shocking return from beyond the grave, the diabolical Jason ships out abroad a teen-filled ""love boat"" bound for New York, which he soon transforms into the ultimate voyage of the damned. Then one of his terrified victims escapes into the nightmarish maze of Manhattan's subways and sewers, only to confront Jason one final time. Horror Thriller Kane Hodder Jensen Daggett Scott Reeves Barbara Bingham Peter Mark Richman Martin Cummins Gordon Currie Alex Diakun Vincent Craig Dupree Saffron Henderson Kelly Hu Sharlene Martin Todd Caldecott Tiffany Paulsen Tim Mirkovich Warren Munson new york boat mask psychopath high school sewerage times square serial killer teenager jason vorhees"
My Big Fat Greek Wedding,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity. Comedy Drama Romance Nia Vardalos John Corbett Lainie Kazan Michael Constantine Andrea Martin Joey Fatone Louis Mandylor Gia Carides Christina Eleusiniotis Marita Zouravlioff Gerry Mendicino Bess Meisler Jayne Eastwood Fiona Reid Bruce Gray Frank Falcone usa parents kids relationship greece culture clash midlife crisis restaurant bad mother-in-law mother-in-law parents-in-law son-in-law father-in-law patriarch bad father-in-law greek wedding family xenophobia
Spring Breakers,"After four college girls rob a restaurant to fund their spring break in Florida, they get entangled with a weird dude with his own criminal agenda. Drama Crime James Franco Selena Gomez Vanessa Hudgens Ashley Benson Rachel Korine Gucci Mane Heather Morris Ash Lendzion Sidney Sewell Thurman Sewell female nudity sex florida drug dealer nudity female friendship party art house drug spring break young adult"
Halloween: The Curse of Michael Myers,"Six years ago, Michael Myers terrorized the town of Haddonfield, Illinois. He and his niece, Jamie Lloyd, have disappeared. Jamie was kidnapped by a bunch of evil druids who protect Michael Myers. And now, six years later, Jamie has escaped after giving birth to Michael's child. She runs to Haddonfield to get Dr. Loomis to help her again. Horror Thriller Donald Pleasence Paul Rudd Marianne Hagan Mitchell Ryan Kim Darby Bradford English Keith Bogart Mariah O'Brien Leo Geter J.C. Brandy Devin Gardner Susan Swift George P. Wilbur Janice Knickrehm Tom Proctor Raquelle Anderson Lee Ju Chew mass murder nudity halloween attempt to escape cult psychopath escape agent murder escape slasher doctor niece death evil michael myers psychiatric murder hunt halloween night"
Y Tu Mamá También,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other. Drama Romance Gael García Bernal Diego Luna Maribel Verdú Ana López Mercado Diana Bracho Verónica Langer María Aura Andrés Almeida Emilio Echevarría Nathan Grinberg Giselle Audirac Arturo Ríos Marta Aura Juan Carlos Remolina Liboria Rodríguez Silverio Palacios Mayra Serbulo Daniel Giménez Cacho Amaury Sérbulo Andrea López mexico sex beach group sex male friendship road trip coming of age teenager lgbt new mexican cinema"
Shaun of the Dead,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners. Horror Comedy Simon Pegg Nick Frost Kate Ashfield Lucy Davis Dylan Moran Peter Serafinowicz Rafe Spall Penelope Wilton Bill Nighy Reece Shearsmith Jessica Hynes Martin Freeman Tamsin Greig Steve Emerson Nicola Cunningham Arvind Doshi Stuart Powell Matt Lucas Chris Martin Mark Donovan Trisha Goddard Jeremy Thompson record collection flower cheese pub surrey romantic comedy zombie english tv show in film cricket bat broken bottle survival horror british pub english pub you've got red on you"
The Haunting of Molly Hartley,"When teenage Molly Hartley moves to a new town, she's haunted by terrifying visions that may have to do with dark secrets from her past. Something evil lurks just beneath the lush surfaces of her private-school world, and it holds the rights to her very soul. On the eve of her 18th birthday, Molly is about to discover the truth of just who or what she is destined to become. Drama Horror Haley Bennett Jake Weber Chace Crawford Shannon Woodward Shanna Collins AnnaLynne McCord Marin Hinkle Nina Siemaszko Josh Stewart Jessica Lowndes Ross Thomas "
Lone Star,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town. Drama Mystery Romance Chris Cooper Matthew McConaughey Elizabeth Peña Kris Kristofferson Joe Morton Frances McDormand Stephen J. Lang Oni Faida Lampley LaTanya Richardson Leo Burmester Eleese Lester Richard Coca Miriam Colón Jeff Monahan Eddie Robinson Ron Canada Chandra Wilson Marco Perella Gordon Tootoosis Vanessa Martinez Clifton James sheriff family secrets neo-western dark secrets"
Halloween 4: The Return of Michael Myers,"The legend of that creepy masked-man, Michael Myers, comes to life once again in this fourth installment of the successful horror franchise. This time, it's Michael's niece, Jamie, who can't seem to escape her crazy uncle. With Michael on the loose, Jamie enlists the help of good old Dr. Loomis to stop the murderer. This time, though, there seems to be no end to Michael's madness. Horror Thriller Donald Pleasence Ellie Cornell Danielle Harris George P. Wilbur Michael Pataki Beau Starr Kathleen Kinmont Sasha Jenson Gene Ross Carmen Filpi Raymond O'Connor Jeff Olson Karen Alston Nancy Borgenicht David Jensen Harlow Marks M.J. McDonnell Richard Stay Michael Flynn George Sullivan Michael Ruud Donré Sampson Kelly Lookinland Erik Preston sheriff scissors ambulance halloween twist knife sequel murder serial killer masked killer blood niece evil michael myers october"
April Fool's Day,"A group of eight college friends gather together at an island mansion belonging to heiress Muffy St. John to celebrate their final year of school. They soon discover that each has a hidden secret from their past which is revealed, and soon after, they turn up dead. Horror Mystery Deborah Foreman Thomas F. Wilson Lloyd Berry Tom Heaton Ken Olandt Leah Pinsent Clayton Rohner Amy Steel Jay Baker Pat Barlow Deborah Goodrich Mike Nomad Griffin O'Neal island party murder teen movie slasher april fool's day holiday horror canuxploitation elimination derby college friends"
Diner,"Set in 1959, Diner shows how five young men resist their adulthood and seek refuge in their beloved Diner. The mundane, childish, and titillating details of their lives are shared. But the golden moments pass, and the men shoulder their responsibilities, leaving the Diner behind. Comedy Drama Steve Guttenberg Daniel Stern Mickey Rourke Kevin Bacon Tim Daly Ellen Barkin Paul Reiser Kathryn Dowling Michael Tucker Jessica James Colette Blonigan Kelle Kipp John Aquino Richard Pierson Claudia Cron Tait Ruppert Tom Tammi Pam Gail Lauren Zaganas Sharon Ziman Mark Margolis Ralph Tabakin Frank Stoegerer Nat Benchley Frank Hennessy Marvin Hunter Steve Smith Lee Case Clement Fowler Howard Silverman Ted Bafaloukos Barney Cohen Bruce Kluger Bruce Elliott Carole Copeland Aryeh Cooperstock Brian Costantini Lorraine D. Glick Florence Moody Mary Lou Vukov Alan Kaplan Donald Saiontz Chief Gordon Beverly Sheehan Dusty Clare diner baltimore maryland fake accident gambling debt twenty something 1950s"
Lone Wolf McQuade,"The archetypical renegade Texas Ranger wages war against a drug kingpin with automatic weapons, his wits and martial arts after a gun battle leaves his partner dead. All of this inevitably culminates a martial arts showdown between the drug lord and the ranger, and involving the woman they both love. Action Crime Drama Romance Thriller Western Chuck Norris David Carradine Barbara Carrera Leon Isaac Kennedy Dana Kimmell Robert Beltran L.Q. Jones R. G. Armstrong Jorge Cervera Jr. Sharon Farrell Daniel Frishman William Sanderson John Anderson Robert Arenas Tommy Ballard Jeffrey Bannister Anthony E. Caglia Eli Cummins Jesus 'Chuy' De La O Oscar Hidalgo Aaron Norris Kane Hodder Deborah Shore martial arts kung fu texas fbi wheelchair texas ranger weapon gun battle drug father daughter relationship killing a dog"
Apollo 18,"Officially, Apollo 17 was the last manned mission to the moon. But a year later in 1973, three American astronauts were sent on a secret mission to the moon funded by the US Department of Defense. What you are about to see is the actual footage which the astronauts captured on that mission. While NASA denies it's authenticity, others say it's the real reason we've never gone back to the moon. Horror Thriller Science Fiction Ryan Robbins Warren Christie Lloyd Owen Andrew Airlie Michael Kopsa Ali Liebert Kurt Max Runte Kim Wylie Noah Wylie Erica Carroll Jan Bos moon nasa infection barbecue moon landing hammer alien mockumentary astronaut alien infection found footage"
Sunshine Cleaning,A single mother and her slacker sister find an unexpected way to turn their lives around in the off-beat dramatic comedy. In order to raise the tuition to send her young son to private school the mom starts an unusual business – a biohazard removal/crime scene clean-up service. Comedy Drama Amy Adams Emily Blunt Alan Arkin Jason Spevack Steve Zahn Mary Lynn Rajskub Clifton Collins Jr Eric Christian Olsen Paul Dooley Kevin Chapman Judith Jones Amy Redford Susie Yip Lois Geary McKenna Hutton Mason Frank Amber Midthunder Angelique Midthunder Vic Browder Ivan Brutsche suicide single parent sister sister relationship cleaning lady new mexico teamwork family business  crime scene woman director
No Escape,"In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape in an environment where foreigners are being immediately executed. Action Thriller Owen Wilson Lake Bell Pierce Brosnan Sterling Jerins Claire Geare Spencer Garrett Tanapol Chuksrida Nophand Boonyai Byron Gibson Matthew Timothy Olynyk Sahajak Boonthanakit Stacy Chbosky Suphornaphat Annie Jenselius Hiroyuki Kobayashi Thanawut Ketsaro Bonnie Zellerbach Jim Lau Jimmy Chhiu Mia Sun Dollar Tan Sam B. Lorn David Prak Ego Mikitas hotel revolution race against time engineer coup survival rebellion execution american family american abroad u.s. embassy foreign"
The Beastmaster,"Dar, is the son of a king, who is hunted by a priest after his birth and grows up in another family. When he becomes a grown man his new father is murdered by savages and he discovers that he has the ability to communicate with the animals, which leads him on his quest for revenge against his father's killers. Action Fantasy Marc Singer Tanya Roberts Rip Torn John Amos Joshua Milrad Rod Loomis Ben Hammer Ralph Strait Billy Jayne Janet DeMay Christine Kellogg Janet Jones Tony Epper Vanna Bonta Kim Tabet sword fight animal"
Solomon and Sheba,"Under the rule of King David, Israel is united and prosperous although surrounded by enemies including Egypt and its allies. The aging King David favors his younger son, Solomon, as his successor, but David's  elder son Prince Adonijah, a warrior, declares himself King. When David learns of this, he publicly announces Solomon to be his successor. Adonijah and Joab, his general, withdraw in rage. Israel prospers under King Solomon's wise and benevolent rule and is seen as a threat to more tyrannical monarchs in the region. The Pharaoh of Egypt agrees to cede a Red Sea port to the Queen of Sheba in a plot to undermine Solomon's rule. Sheba is to seduce Solomon and introduce Sheban pagan worship into Jerusalem. Meanwhile, Prince Adonijah, now banished, also conspires with Pharaoh and is given an army to defeat Solomon. The film is a highly fictionalized dramatization of events depicted in The Bible -- First Kings chapter 10 and Second Chronicles chapter 9. Drama History Romance War Yul Brynner Gina Lollobrigida George Sanders Marisa Pavan David Farrar John Crawford Finlay Currie Harry Andrews José Nieto israel egypt religion and supernatural epic"
Fifty Shades of Black,An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship. Romance Comedy Marlon Wayans Kali Hawk Fred Willard Mike Epps Affion Crockett Jane Seymour Florence Henderson Andrew Bachelor Jenny Zigriano Kate Miner Tina Grimm Alice Rietveld Brad Schmidt Mircea Monroe Angel Laketa Moore Elizabeth Ho Stephen Todt sex black parody spoof millionaire
Not Easily Broken,A car accident and shifting affections test the bond between a married couple. Drama Romance Morris Chestnut Taraji P. Henson Maeve Quinlan Kevin Hart Jenifer Lewis Eddie Cibrian Wood Harris 
A Farewell to Arms,"British nurse Catherine Barkley (Helen Hayes) and American Lieutenant Frederic Henry (Gary Cooper) fall in love during the First World War in Italy. Eventually separated by Frederic's transfer, tremendous challenges and difficult decisions face each, as the war rages on. Academy Awards winner for Best Cinematography and for Best Sound, Recording. Nominated for Best Picture and for Best Art Direction. Drama Romance War Helen Hayes Gary Cooper Adolphe Menjou Mary Philips Jack La Rue Blanche Friderici Mary Forbes Gilbert Emery Agostino Borgato italy nurse love letter officer priest escape hospital best friend pre-code air raid ambulance driver battle of the isonzo air attack"
The Perfect Match,"Terrence J. stars as Charlie, a playboy who's convinced that relationships are dead. His two best friends, Donald Faison and Robert C. Riley, bet him that if he sticks to one woman for one month, he's bound to get attached. Charlie denies this until he crosses paths with the beautiful and mysterious Eva, played by singer/actress Cassie. They may agree to a casual affair, but eventually Charlie is questioning whether he may actually want more. Comedy Romance Terrence Jenkins Paula Patton Kali Hawk Lauren London Brandy Norwood Cassie Ventura Donald Faison Robert Christopher Riley Layla Jama Dascha Polanco Casper Smart French Montana Joe Pantoliano Steven Daniel Brun Timothy DeLaGhetto bet match playboy fear of commitment best friend"
Digimon: The Movie,"The first story focused on Tai and Kari Kamiya four years before their adventure in the Digital World. It shows their first encounter with Digimon and what happened to them (as well as the other children). Tai and Kari wake one morning to find a Digi-Egg that came out of their computer the night before and the egg soon hatches, revealing a Botamon. The Digimon then evolves into Koromon and then Agumon (not the same one that became friends with Tai in the series, and yet, somehow, both Koromon and Kari remember each other), who then goes out and unintentionally destroys a good part of the neighborhood with Kari riding on his back. A second Digi-Egg appears in the sky to reveal an evil digimon, Parrotmon. Agumon then Digivolves to Greymon but isn't strong enough to beat Parrotmon and is knocked out. Tai grabs Kari's whistle and wakes up Greymon, who defeats Parrotmon and disappears with him. Fantasy Animation Science Fiction Family Lara Jill Miller Joshua Seth Bob Papenbrook Doug Berholt Steve Blum Colleen O'Shaughnessey Michael Reisz Wendee Lee Brianne Siddall video game monster loss of energy egg computer good vs evil internet based on video game giant egg animal trainer superhero kids anime"
Saved!,"Teenage Mary Cummings, who has ""been Born Again her whole life,"" is about to enter her senior year at American Eagle Christian High School near Baltimore with her Fundamentalist Christian friends Hilary Faye and Veronica, the three of whom have formed a girl group called the Christian Jewels. Everything seems perfect—until Mary’s ""perfect Christian boyfriend"" Dean tells her, as they’re swimming underwater, that he thinks he's gay. Comedy Drama Jena Malone Mandy Moore Macaulay Culkin Patrick Fugit Heather Matarazzo Eva Amurri Martino Martin Donovan Mary-Louise Parker Chad Faust Elizabeth Thai Valerie Bertinelli Kett Turton christianity gay coming out independent film coming of age lgbt child"
The Barbarian Invasions,"In this belated sequel to 'The Decline of the American Empire', 50-something Montreal college professor, Remy, learns that he is dying of liver cancer. He decides to make amends meet to his friends and family before he dies. He first tries to made peace with his ex-wife Louise, who asks their estranged son Sebastian, a successful businessman living in London, to come home. Sebastian makes the impossible happen, using his contacts and disrupting the entire Canadian system in every way possible to help his father fight his terminal illness to the bitter end, while he also tries to reunite his former friends, Pierre, Alain, Dominique, Diane, and Claude to see their old friend before he passes on. Comedy Crime Drama Rémy Girard Stéphane Rousseau Marie-Josée Croze Dorothée Berryman Louise Portal Dominique Michel Pierre Curzi Yves Jacques Marina Hands Sophie Lorain Johanne-Marie Tremblay Mitsou Gélinas Isabelle Blais Markita Boies Micheline Lanctôt Denis Bouchard Sylvie Drapeau Dominic Darceuil Yves Desgagnés Gilles Pelletier Jean-René Ouellet Lise Roy Macha Grenon Gaston Lepage Daniel Brière Sébastien Huberdeau Rose-Maïté Erkoreka Roy Dupuis Sébastien Ricard Bonnie Mak Frédéric Gilles Denys Arcand David Gow Dawn Lambing Valérie Jeanneret Valérie Wiseman François Domerc Julie Beauchemin Fanny Mallette father son relationship socialism yuppie professor dying and death cancer money university illness dying family conflict friend"
Robin and Marian,"Whatever became of Robin Hood after his famed tale of good deeds ended? Now you can find out, in this sequel that takes place years after Robin and his merry men bested the Sheriff of Nottingham. After following Richard the Lionhearted to the crusades, Robin (Sean Connery) returns to Sherwood Forest to find things drastically changed. Audrey Hepburn plays the stalwart Marian … who's joined a nunnery! Action Adventure Drama Romance Sean Connery Audrey Hepburn Robert Shaw Richard Harris Nicol Williamson Ian Holm Ronnie Barker Denholm Elliott england crusade robin hood king richard"
The Forsaken,A young man is in a race against time as he searches for a cure after becoming infected with a virus that will eventually turn him into a blood-sucking vampire. Action Adventure Horror Thriller Kerr Smith Brendan Fehr Izabella Miko Johnathon Schaech Phina Oruche Simon Rex Carrie Snodgress Alexis Thorpe Frederick Flynn A.J. Buckley Elizabeth Barondes vampire full moon poster hitchhiker homoeroticism newspaper headline vampire slayer switchblade gun in mouth film canister playing chicken blood sucking traffic violation virus
Force 10 from Navarone,"Mallory and Miller are back. The survivors of Navarone are sent on a mission along with a unit called Force 10, which is led by Colonel Barnsby. But Force 10 has a mission of their own which the boys know nothing about. Action Adventure War Thriller Harrison Ford Robert Shaw Barbara Bach Edward Fox Franco Nero Carl Weathers Richard Kiel Alan Badel Michael Byrne Philip Latham Angus MacInnes Michael Sheard Petar Buntic gun traitor nazis bridge major colonel blood sergeant battle partisan woman task force keith mallory"
UHF,"The eccentric new manager of a UHF television channel tries to save the station from financial ruin with an odd array of programming. Comedy ""Weird Al"" Yankovic Victoria Jackson Michael Richards David Bowe Fran Drescher Kevin McCarthy Anthony Geary Billy Barty Trinidad Silva Emo Philips loser tv station game show tv star music video satire cult film indiana jones spoof scene music spoof"
Grandma's Boy,"Even though he's 35, Alex acts more like he's 13, spending his days as the world's oldest video game tester and his evenings developing the next big Xbox game. But he gets kicked out of his apartment and is forced to move in with his grandmother. Comedy Linda Cardellini Allen Covert Peter Dante Shirley Knight Joel David Moore Kevin Nealon Doris Roberts Shirley Jones Nick Swardson Jonah Hill Kelvin Yu Chuck Church Todd Holland Scott Halberstadt Shana Hiatt Heidi Hawking John Kirk Joe Koons Bryan Ling Geno Kirkland Danni Katz Rob Schneider video game grandmother grandson relationship man child stoner game tester"
Slums of Beverly Hills,"In 1976, a lower-middle-class teenager struggles to cope living with her neurotic family of nomads on the outskirts of Beverly Hills. Comedy Drama Natasha Lyonne Alan Arkin Marisa Tomei Eli Marienthal Mena Suvari David Krumholtz Kevin Corrigan Rita Moreno Carl Reiner Jessica Walter Rita Moreno sex independent film moving beverly hills woman director nursing school nomad"
Once Upon a Time in the West,This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land. Western Henry Fonda Claudia Cardinale Jason Robards Charles Bronson Gabriele Ferzetti Paolo Stoppa Woody Strode Jack Elam Keenan Wynn Frank Wolff Lionel Stander Al Mulock Aldo Sambrell Fabio Testi showdown bounty bounty hunter loss of brother sadness blackmail harmonica anti hero auction dying and death peasant insanity spaghetti western
Made,Two aspiring boxers lifelong friends get involved in a money-laundering scheme through a low-level organized crime group. Action Comedy Thriller Vince Vaughn Jon Favreau Sean Combs Famke Janssen Peter Falk Faizon Love David O'Hara Vincent Pastore Jenteal Makenzie Vega Norfolk Jonathan Silverman Tom Morello Jennifer Esposito 
